INFO 2024-04-28 22:56:20,824 autoreload Watching for file changes with StatReloader
DEBUG 2024-04-28 22:56:20,996 autoreload File /usr/local/lib/python3.8/site-packages/django/utils/tree.py first seen with mtime 1714344749.5159528
DEBUG 2024-04-28 22:56:20,997 autoreload File /usr/local/lib/python3.8/site-packages/django/db/backends/postgresql/creation.py first seen with mtime 1714344749.4659529
DEBUG 2024-04-28 22:56:20,997 autoreload File /usr/local/lib/python3.8/site-packages/django/db/models/deletion.py first seen with mtime 1714344749.4759529
DEBUG 2024-04-28 22:56:20,997 autoreload File /usr/local/lib/python3.8/ssl.py first seen with mtime 1713964025.0
DEBUG 2024-04-28 22:56:20,998 autoreload File /usr/local/lib/python3.8/site-packages/django/views/decorators/common.py first seen with mtime 1714344749.5159528
DEBUG 2024-04-28 22:56:20,998 autoreload File /usr/local/lib/python3.8/lib-dynload/termios.cpython-38-x86_64-linux-gnu.so first seen with mtime 1713964016.0
DEBUG 2024-04-28 22:56:20,998 autoreload File /usr/local/lib/python3.8/site-packages/django/template/backends/django.py first seen with mtime 1714344749.5059528
DEBUG 2024-04-28 22:56:20,998 autoreload File /usr/local/lib/python3.8/email/mime/text.py first seen with mtime 1713964027.0
DEBUG 2024-04-28 22:56:20,999 autoreload File /usr/local/lib/python3.8/concurrent/futures/thread.py first seen with mtime 1713964026.0
DEBUG 2024-04-28 22:56:20,999 autoreload File /usr/local/lib/python3.8/abc.py first seen with mtime 1713964025.0
DEBUG 2024-04-28 22:56:20,999 autoreload File /usr/local/lib/python3.8/stat.py first seen with mtime 1713964025.0
DEBUG 2024-04-28 22:56:21,000 autoreload File /usr/local/lib/python3.8/site-packages/django/contrib/staticfiles/finders.py first seen with mtime 1714344749.435953
DEBUG 2024-04-28 22:56:21,000 autoreload File /usr/local/lib/python3.8/site-packages/django/core/files/uploadhandler.py first seen with mtime 1714344749.445953
DEBUG 2024-04-28 22:56:21,000 autoreload File /usr/local/lib/python3.8/site-packages/django/db/models/base.py first seen with mtime 1714344749.4659529
DEBUG 2024-04-28 22:56:21,000 autoreload File /usr/local/lib/python3.8/struct.py first seen with mtime 1713964025.0
DEBUG 2024-04-28 22:56:21,001 autoreload File /usr/local/lib/python3.8/site-packages/django/core/cache/backends/filebased.py first seen with mtime 1714344749.435953
DEBUG 2024-04-28 22:56:21,001 autoreload File /usr/local/lib/python3.8/site-packages/django/middleware/__init__.py first seen with mtime 1714344749.4959528
